AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
" -141.0205,70.0187 "," -88.1955,35.0041 "," -94.0416,33.0225 ","-112.5989,36.9993 "," -124.4009,41.9983 "," -109.0448,37.0004 "," -73.4875,42.0498 "," -75.7919,39.7188 "," -87.6050,30.9988 "," -85.6082,34.9974 "," -154.6284,19.5158 "," -95.7623,40.5848 "," -117.0319,49.0000 "," -90.6290,42.5116 "," -87.5253,41.7611 "," -102.0506,40.0034 "," -89.5372,36.4986 "," -94.0430,33.0225 "," -72.7789,42.0003 "," -79.4778,39.7220 "," -71.0129,45.3425 "," -88.3713,48.3033 "," -96.4517,43.5008 "," -91.7468,40.6181 "," -90.3049,35.0041 "," -111.0512,44.4750 "," -78.4850,33.7963 "," -104.0501,48.9955 "," -104.0543,42.9986 "," -71.5045,45.0153 "," -74.6950,41.3572 "," -109.0448,36.9971 "," -120.0037,41.9922 "," -79.7624,42.5142 "," -82.3425,38.4385 "," -103.0051,37.0015 "," -124.2444,46.2587 "," -80.5174,42.3261 "," -71.0568,41.3706 "," -80.7001,32.0488 "," -104.0501,45.9435 "," -88.0678,36.6739 "," -106.5715,31.8659 "," -114.0491,36.9982 "," -83.6753,36.6017 "," -73.3427,45.0104 "," -123.3208,49.0023 "," -90.6303,42.5116 "," -79.4765,39.7188 "," -104.0556,41.0037 "
" -141.7291,70.1292 "," -85.6068,34.9918 "," -91.2057,33.0075 "," -110.8630,37.0004 "," -123.6237,42.0024 "," -102.0424,36.9949 "," -73.4247,42.0511 "," -75.7837,39.5210 "," -86.5613,30.9964 "," -84.7266,34.9906 "," -154.8235,19.8894 "," -93.5445,40.5785 "," -116.0486,49.0018 "," -87.0213,42.4924 "," -84.8090,41.7611 "," -102.0506,40.0034 "," -89.3010,36.5074 "," -93.0048,33.0179 "," -72.7405,42.0330 "," -78.3600,39.7220 "," -70.9525,45.3328 "," -87.6050,48.0101 "," -91.2195,43.5017 "," -91.6809,40.5597 "," -88.1955,35.0075 "," -111.3684,44.7311 "," -79.6742,34.8037 "," -104.0446,45.9445 "," -104.0543,41.0027 "," -71.4977,45.0532 "," -74.6559,41.3394 "," -109.0489,31.3337 "," -117.9602,42.0003 "," -79.0672,42.7783 "," -82.2917,38.5707 "," -103.0037,36.5030 "," -124.0384,46.2634 "," -80.0821,42.3961 "," -71.0541,41.3706 "," -80.8978,32.0453 "," -104.0529,43.0026 "," -87.8522,36.6354 "," -106.5042,31.7504 "," -109.0462,37.0026 "," -83.5613,36.6519 "," -73.1827,45.0134 "," -123.0338,49.0027 "," -87.0241,42.4954 "," -79.4806,39.2057 "," -104.0584,44.9949 "
" -144.8163,70.4515 "," -85.1756,32.8404 "," -91.1989,33.1180 "," -109.0475,37.0004 "," -123.1526,42.0126 "," -102.0534,41.0006 "," -72.8146,42.0371 "," -75.7288,38.9081 "," -85.5313,31.0035 "," -84.1580,34.9895 "," -155.0391,20.1849 "," -91.7372,40.6129 "," -116.0445,47.9752 "," -87.2067,41.7641 "," -84.8199,39.0981 "," -102.0438,36.9927 "," -88.6871,36.5008 "," -91.1646,33.0087 "," -72.3779,42.0330 "," -75.7878,39.7220 "," -70.8618,45.2294 "," -84.8584,46.8902 "," -91.3101,43.8226 "," -91.6260,40.5472 "," -88.0994,34.8882 "," -111.5071,44.6198 "," -80.8003,34.8206 "," -96.5671,45.9340 "," -102.0506,41.0006 "," -71.4619,45.0910 "," -73.8940,40.9934 "," -108.2140,31.3349 "," -117.0264,42.0003 "," -78.9313,42.8508 "," -82.1722,38.5965 "," -100.0003,36.4986 "," -124.0205,46.2891 "," -79.7621,42.5167 "," -71.1447,41.6339 "," -81.1134,32.1105 "," -98.4993,42.9946 "," -83.6787,36.6023 "," -106.3092,31.6242 "," -109.0503,40.9986 "," -83.4432,36.6673 "," -72.7432,45.0153 "," -122.0650,49.0018 "," -87.1477,43.3721 "," -79.0576,39.4871 "," -111.0539,44.9998 "
" -148.4583,70.7471 "," -84.8927,32.2593 "," -91.1041,33.1824 "," -109.0503,31.3325 "," -122.0073,42.0075 "," -109.0489,40.9996 "," -72.8174,41.9983 "," -75.7068,38.5911 "," -85.1193,31.0012 "," -83.1088,34.9996 "," -155.5952,20.3910 "," -91.6768,40.5545 "," -115.6915,47.5765 "," -87.5226,41.7611 "," -84.8927,39.0533 "," -94.6211,36.9982 "," -88.0568,36.4931 "," -91.2209,32.9269 "," -71.7984,42.0228 "," -75.7809,39.5655 "," -70.8247,45.3917 "," -84.7650,46.6362 "," -91.4914,43.9651 "," -91.5463,40.4658 "," -88.1241,34.7044 "," -111.4673,44.5386 "," -80.7880,34.9377 "," -96.6028,46.3242 "," -102.0493,40.0034 "," -71.4276,45.1520 "," -73.9586,40.8398 "," -108.2071,31.7795 "," -115.7300,42.0003 "," -78.9024,42.9061 "," -82.1997,38.7712 "," -99.9934,34.5620 "," -123.9368,46.2407 "," -79.7607,42.0003 "," -71.1942,41.6791 "," -81.1423,32.2058 "," -98.4444,42.9283 "," -81.9402,36.5946 "," -106.2103,31.4638 "," -111.0471,41.0006 "," -83.3080,36.7108 "," -72.6100,45.0134 "," -121.7491,48.9973 "," -87.1230,43.6838 "," -78.9725,39.4394 "," -111.0457,40.9986 "
" -151.1609,70.7923 "," -85.0342,32.1535 "," -91.1343,33.3053 "," -111.0718,31.3325 "," -121.2369,41.9962 "," -109.0448,37.0004 "," -72.7638,42.0044 "," -75.6944,38.4600 "," -85.0012,31.0023 "," -83.1418,34.9287 "," -155.7930,20.8614 "," -91.6246,40.5451 "," -115.7574,47.5487 "," -87.5336,39.6417 "," -84.8625,38.8996 "," -94.6046,38.8803 "," -88.0692,36.6695 "," -91.1220,32.8773 "," -71.8011,42.0085 "," -75.7617,39.3152 "," -70.7808,45.4274 "," -84.5563,46.4606 "," -91.7084,44.1113 "," -91.4337,40.3675 "," -88.2573,33.6661 "," -111.8285,44.5151 "," -80.9377,35.1019 "," -96.7978,46.6636 "," -95.3091,39.9992 "," -71.3960,45.2043 "," -74.0094,40.7691 "," -106.5317,31.7830 "," -114.0436,41.9952 "," -78.9313,42.9554 "," -82.0294,39.0181 "," -99.6172,34.3763 "," -123.8681,46.2388 "," -75.3580,41.9983 "," -71.2793,41.7611 "," -81.1821,32.3846 "," -98.1958,42.8438 "," -81.9209,36.6144 "," -106.0181,31.3912 "," -111.0498,41.9993 "," -83.1974,36.7389 "," -72.5551,45.0075 "," -121.5912,48.9991 "," -86.9911,44.1694 "," -78.7747,39.6438 "," -104.0556,41.0006 "
" -152.6221,71.1470 "," -85.1358,31.7947 "," -91.1646,33.4211 "," -114.8126,32.4935 "," -119.9982,41.9983 ",," -72.7563,42.0360 "," -74.8608,38.4482 "," -84.9847,30.9364 "," -83.3025,34.8318 "," -156.1858,21.0948 "," -91.4365,40.3622 "," -115.7595,47.4239 "," -87.5308,39.3566 "," -84.8268,38.8312 "," -94.6143,39.0789 "," -87.8535,36.6343 "," -91.1481,32.8358 "," -71.3850,42.0197 "," -75.7329,38.9498 "," -70.6380,45.3830 "," -84.4780,46.4525 "," -91.8951,44.2806 "," -91.5161,40.1663 "," -88.4756,31.8939 "," -111.8848,44.5592 "," -81.0379,35.0356 "," -96.7896,46.8602 "," -95.4808,40.2397 "," -71.4455,45.2362 "," -74.0231,40.6994 "," -106.6223,32.0034 "," -114.0546,38.2856 "," -78.9656,42.9584 "," -81.8729,38.8750 "," -99.5787,34.4137 "," -123.7390,46.2691 "," -75.2673,41.9431 "," -71.3315,41.7775 "," -81.1986,32.4576 "," -98.0571,42.7773 "," -81.6518,36.6111 "," -105.7874,31.1846 "," -114.0395,41.9901 "," -83.1363,36.7433 "," -72.4562,45.0090 "," -119.6082,49.0009 "," -86.8579,44.4828 "," -78.6703,39.5369 ",
" -153.9954,71.1185 "," -85.0438,31.5200 "," -91.2263,33.4337 "," -114.8099,32.5184 "," -120.0037,39.0021 ",," -72.6945,42.0368 "," -74.8526,38.8654 "," -84.9367,30.8845 "," -83.3560,34.7281 "," -156.6595,21.3597 "," -91.3623,40.4637 "," -115.5350,47.3109 "," -87.6517,39.1386 "," -84.8145,38.7841 "," -94.6184,39.1971 "," -86.5654,36.6265 "," -91.1412,32.7642 "," -71.3837,41.8961 "," -75.6944,38.4611 "," -70.7190,45.5092 "," -84.4450,46.4894 "," -91.9556,44.3710 "," -91.4900,39.9866 "," -88.4180,30.8657 "," -112.1127,44.5229 "," -81.0324,35.1457 "," -96.7896,46.9503 "," -95.6470,40.3130 "," -71.3878,45.2372 "," -74.0437,40.6786 "," -103.0696,31.9999 "," -114.0491,36.1955 "," -79.0219,42.9886 "," -81.7644,38.9359 "," -99.4290,34.3763 "," -123.6868,46.2520 "," -75.1794,41.8696 "," -71.3425,41.7918 "," -81.2769,32.5283 "," -97.9761,42.7631 "," -81.7163,36.3295 "," -105.5663,31.0012 "," -114.0504,37.0015 "," -83.1047,36.8032 "," -72.3113,45.0037 "," -118.0378,49.0005 "," -86.6876,44.8792 "," -78.5742,39.5210 ",
" -154.8853,71.4307 "," -85.0836,31.3384 "," -91.2524,33.5403 "," -114.8044,32.5827 "," -117.9575,37.5555 ",," -72.6086,42.0309 "," -75.0504,38.8451 "," -84.9271,30.8409 "," -83.3080,34.6569 "," -157.1182,21.4748 "," -91.4021,40.5482 "," -115.3235,47.2606 "," -87.5157,38.9445 "," -84.8941,38.7905 "," -94.7255,39.1673 "," -83.6375,36.5979 "," -91.1536,32.6382 "," -71.3411,41.8982 "," -74.8581,38.4482 "," -70.5721,45.6544 "," -84.4203,46.5008 "," -92.2083,44.4357 "," -91.4447,39.8634 "," -88.3850,30.1594 "," -112.3270,44.5367 "," -81.3867,35.1660 "," -96.8335,47.1300 "," -95.6689,40.4302 "," -71.3617,45.2710 "," -74.0808,40.6515 "," -103.0023,36.9982 "," -114.0985,36.1334 "," -79.0027,43.0568 "," -81.7397,39.1865 "," -99.3823,34.4534 "," -123.6456,46.2596 "," -75.0586,41.7713 "," -71.3507,41.8225 "," -81.4087,32.5838 "," -97.8566,42.8599 "," -81.7973,36.3516 "," -105.4015,30.8456 ",," -83.1033,36.8302 "," -72.0964,45.0066 "," -117.0319,48.9996 "," -86.2523,45.2343 "," -78.4644,39.5210 ",
" -156.7529,71.5232 "," -85.1070,31.2093 "," -91.1797,33.6112 "," -114.7992,32.6246 "," -116.3699,36.3594 ",," -72.6059,42.0269 "," -75.1678,39.0565 "," -84.9257,30.7902 "," -83.1528,34.5744 "," -157.5247,21.5515 "," -91.1124,40.6931 "," -115.2878,47.1888 "," -87.5047,38.7294 "," -84.9861,38.7809 "," -94.8793,39.2759 "," -83.3423,36.6860 "," -91.1069,32.5804 "," -71.3370,41.8358 "," -74.9721,38.0200 "," -70.3894,45.7292 "," -84.3956,46.4989 "," -92.3360,44.5513 "," -91.3623,39.7283 "," -88.8327,30.0905 "," -112.3901,44.4475 "," -82.2739,35.1985 "," -96.8335,47.2345 "," -95.7500,40.5900 "," -71.2834,45.3029 "," -74.1357,40.6421 "," -109.0475,36.9982 "," -114.1260,36.1068 "," -79.0727,43.0769 "," -81.5680,39.2812 "," -99.2505,34.3616 "," -123.5468,46.2577 "," -75.0366,41.6729 "," -71.3370,41.8512 "," -81.4183,32.6926 "," -97.2290,42.8518 "," -81.9072,36.2974 "," -105.0032,30.6462 ",," -83.0704,36.8544 "," -71.9131,45.0070 "," -117.0415,47.9614 "," -86.7535,45.4418 "," -78.4094,39.6015 ",
" -157.9449,71.2796 "," -84.9944,31.0023 "," -91.2524,33.6855 "," -114.7474,32.6700 "," -114.6368,35.0075 ",," -72.5784,42.0269 "," -75.3236,39.2525 "," -84.9147,30.7489 "," -83.0072,34.4839 "," -157.8186,21.8832 "," -91.1028,40.8107 "," -115.2493,47.1542 "," -87.6146,38.6115 "," -85.1797,38.6877 "," -95.0990,39.5612 "," -83.1377,36.7466 "," -91.0080,32.6093 "," -71.3493,41.8245 "," -75.2316,38.0275 "," -70.4169,45.7924 "," -84.3750,46.5093 "," -92.6367,44.6501 "," -91.3074,39.6861 "," -89.1870,30.2104 "," -112.7293,44.4896 "," -82.3933,35.2041 "," -96.8555,47.4132 "," -95.8543,40.6827 "," -71.2299,45.2507 "," -74.1962,40.6452 ",," -114.1150,36.0891 "," -79.0713,43.1220 "," -81.4444,39.4022 "," -99.1818,34.2129 "," -123.4863,46.2672 "," -75.0641,41.6021 "," -71.3397,41.8880 "," -81.4746,32.8242 "," -97.2057,42.8075 "," -82.0308,36.1212 "," -104.8521,30.3847 ",," -83.0127,36.8478 "," -71.5636,45.0138 "," -117.0394,46.5060 "," -87.1024,45.4438 "," -78.3517,39.6395 ",
" -159.6313,71.2249 "," -87.6009,30.9953 "," -91.1261,33.6946 "," -114.7014,32.7457 "," -114.6382,34.9659 ",," -72.5729,42.0350 "," -75.4610,39.3662 "," -84.8611,30.6993 "," -82.8918,34.4681 "," -159.2180,22.3386 "," -90.9668,40.9218 "," -115.0433,46.9728 "," -87.6544,38.4944 "," -85.4420,38.7198 "," -94.8807,39.7283 "," -82.8589,36.9762 "," -91.0904,32.4588 "," -71.3342,41.7816 "," -75.6079,37.9962 "," -70.2493,45.9368 "," -84.3386,46.5069 "," -92.7658,44.7877 "," -91.1096,39.5464 "," -89.4919,30.1570 "," -112.8296,44.4181 "," -82.7765,35.0637 "," -96.8555,47.5469 "," -95.8447,40.8138 "," -71.1818,45.2391 "," -74.2003,40.5952 ",," -114.1534,36.0313 "," -79.0302,43.1441 "," -81.3661,39.3460 "," -98.9648,34.1982 "," -123.4287,46.2369 "," -74.9927,41.5086 "," -71.3837,41.9288 "," -81.5117,32.9465 "," -96.8486,42.7157 "," -82.1255,36.1024 "," -104.7437,30.2591 ",," -82.8534,36.9839 "," -71.5059,45.0138 "," -117.0394,46.4274 "," -87.1724,45.3531 "," -78.2817,39.6205 ",
" -161.8671,70.6363 "," -87.5926,30.9423 "," -91.1412,33.7883 "," -114.6176,32.7342 "," -114.6286,34.9107 ",," -72.4026,42.0350 "," -75.5592,39.4542 "," -84.4272,30.6911 "," -82.8589,34.4443 "," -159.7508,22.3374 "," -91.0121,41.1642 "," -114.9472,46.8677 "," -87.7780,38.3740 "," -85.4091,38.5653 "," -94.8930,39.8286 "," -82.3192,37.2894 "," -91.0355,32.4379 "," -71.2628,41.7529 "," -75.6230,37.9951 "," -70.3098,45.9597 "," -84.2905,46.4927 "," -92.7081,45.3135 "," -90.9558,39.4022 "," -89.5757,30.1796 "," -112.8529,44.3563 "," -82.7861,35.0817 "," -96.8774,47.6506 "," -95.8324,40.9654 "," -71.1584,45.2478 "," -74.2195,40.5566 ",," -114.2468,36.0136 "," -79.0576,43.1801 "," -81.1244,39.4479 "," -98.7424,34.1232 "," -123.4287,46.1817 "," -74.7935,41.4283 "," -71.3795,42.0156 "," -81.5034,33.0098 "," -96.6220,42.5237 "," -82.1475,36.1434 "," -104.6915,30.0738 ",," -82.7971,37.0086 "," -71.5294,44.9748 "," -117.0621,46.3498 "," -87.3193,45.2401 "," -78.2405,39.6839 ",
" -163.5809,70.0843 "," -87.6256,30.8539 "," -91.0451,33.7700 "," -114.5819,32.7422 "," -114.6382,34.8758 ",," -71.7984,42.0248 "," -75.5578,39.4908 "," -83.5991,30.6509 "," -82.7490,34.2674 "," -160.1422,22.1493 "," -91.1082,41.2406 "," -114.7865,46.7201 "," -87.8371,38.2856 "," -85.5986,38.4461 "," -94.9342,39.8823 "," -82.0308,37.4934 "," -91.0286,32.3742 "," -71.1914,41.6719 "," -75.6436,37.9464 "," -70.2946,46.0923 "," -84.2651,46.4951 "," -92.6532,45.4505 "," -90.7306,39.2450 "," -89.6457,30.3326 "," -113.0205,44.4857 "," -83.1075,34.9996 "," -97.0601,47.9918 "," -95.8667,41.0794 "," -71.1337,45.2469 "," -74.2552,40.4877 ",," -114.3292,36.0624 "," -79.0604,43.2482 "," -81.0352,39.5549 "," -98.5570,34.1254 "," -123.3765,46.1513 "," -74.7070,41.3933 "," -71.7984,42.0064 "," -81.6010,33.0777 "," -96.4806,42.4772 "," -82.2450,36.1323 "," -104.6777,29.9169 ",," -82.7360,37.0442 "," -71.4949,44.9123 "," -117.0277,46.3384 "," -87.4100,45.1995 "," -78.1732,39.6935 ",
" -165.2399,69.3028 "," -87.4072,30.6745 "," -91.0341,33.8328 "," -114.5393,32.7584 "," -114.5970,34.8454 ",," -71.7874,41.6832 "," -75.5118,39.5713 "," -82.5595,30.5895 "," -82.6831,34.1254 "," -160.3922,21.8857 "," -91.0451,41.4067 "," -114.7549,46.6984 "," -87.9758,38.2414 "," -85.7510,38.2695 "," -95.0098,39.8971 "," -82.2121,37.6653 "," -90.9064,32.3150 "," -71.1351,41.6616 "," -75.7288,37.9529 "," -70.2589,46.0989 "," -84.2253,46.5343 "," -92.8482,45.6083 "," -90.6812,38.9893 "," -89.7748,30.5232 "," -113.0713,44.5905 "," -83.6183,34.9918 "," -97.1260,48.1267 "," -95.8722,41.2923 "," -71.1145,45.2846 "," -74.2264,40.4762 ",," -114.3237,36.1024 "," -79.0837,43.2812 "," -80.8374,39.6565 "," -98.4746,34.0618 "," -123.3051,46.1494 "," -74.8608,41.2282 "," -71.7874,41.6750 "," -81.7122,33.1238 "," -96.6289,42.7299 "," -82.3521,36.1168 "," -104.5679,29.7644 ",," -82.3494,37.2664 "," -71.5567,44.8296 "," -116.9879,46.2848 "," -87.4443,45.0784 "," -77.8835,39.5972 ",
" -166.8768,69.1782 "," -87.3688,30.4404 "," -91.0863,33.9399 "," -114.5095,32.8167 "," -114.5682,34.7890 ",," -71.7984,41.4165 "," -75.5557,39.6284 "," -82.2134,30.5682 "," -82.5952,34.0140 "," -160.3249,21.6025 "," -90.7086,41.4510 "," -114.5874,46.6325 "," -87.9291,38.1454 "," -85.8266,38.2824 "," -95.0922,39.8760 "," -82.4016,37.8618 "," -90.9723,32.2616 "," -71.1433,41.6124 "," -75.8084,37.9117 "," -70.2466,46.1342 "," -84.1951,46.5404 "," -92.7356,45.8307 "," -90.5878,38.8697 "," -89.8531,30.6663 "," -113.1152,44.7389 "," -84.3201,34.9918 "," -97.1109,48.2859 "," -95.9354,41.4458 "," -71.0843,45.3058 "," -73.9503,40.5253 ",," -114.3896,36.1434 "," -79.2004,43.4509 "," -80.7948,39.8676 "," -98.3743,34.1414 "," -123.1512,46.1874 "," -75.1355,40.9830 "," -71.7984,41.4530 "," -81.8289,33.2065 "," -96.5039,43.0046 "," -82.4167,36.0702 "," -104.5280,29.6475 ",," -82.3027,37.3046 "," -71.6281,44.7506 "," -116.9577,46.2388 "," -87.6379,45.0987 "," -77.7859,39.4987 ",
" -168.0414,68.3344 "," -87.5240,30.1463 "," -90.9256,34.0208 "," -114.4696,32.8450 "," -114.4968,34.7269 ",," -71.8341,41.3892 "," -75.3937,39.8106 "," -82.2134,30.5315 "," -82.3988,33.8647 "," -159.9939,21.7276 "," -90.4793,41.5178 "," -114.4638,46.6325 "," -88.0225,37.9788 "," -85.8376,38.2414 "," -95.2213,39.9445 "," -82.5073,37.9908 "," -91.0464,32.1942 "," -71.1310,41.5939 "," -75.9512,37.9095 "," -70.2905,46.1903 "," -84.1779,46.5272 "," -92.5159,45.9760 "," -90.4504,38.9722 "," -89.7377,30.9988 "," -113.2471,44.8091 "," -84.2885,35.2131 "," -97.1233,48.4301 "," -95.9999,41.5261 "," -71.0527,44.9230 "," -73.8885,40.4846 ",," -114.5105,36.1290 "," -78.6909,43.6311 "," -80.6520,40.5941 "," -98.1793,34.1118 "," -123.0222,46.1380 "," -75.0490,40.8554 "," -71.8492,41.3943 "," -81.9319,33.3443 "," -96.4380,43.1331 "," -82.5389,35.9669 "," -104.4044,29.5603 ",," -82.0136,37.5054 "," -71.6061,44.7077 "," -116.9659,46.2022 "," -87.6956,45.2217 "," -77.7310,39.3279 ",
" -165.9155,67.6844 "," -88.3864,30.1546 "," -90.9036,34.0856 "," -114.4817,32.9107 "," -114.4501,34.6648 ",," -71.8526,41.3273 "," -75.4692,39.8249 "," -82.1997,30.3883 "," -82.2505,33.7563 "," -159.4295,21.6932 "," -90.3419,41.5908 "," -114.3279,46.6466 "," -88.0458,37.8900 "," -85.9035,38.0967 "," -95.3036,40.0087 "," -82.6392,38.1778 "," -91.0739,32.1198 "," -71.1214,41.4973 "," -75.9430,37.9464 "," -70.2466,46.2710 "," -84.1347,46.5348 "," -92.3566,46.0151 "," -90.1813,38.8868 "," -91.6287,30.9988 "," -113.3459,44.7887 "," -84.2226,35.2680 "," -97.1425,48.5530 "," -96.0988,41.6380 "," -71.0143,44.3592 "," -73.9352,40.0045 ",," -114.5215,36.1467 "," -76.7958,43.6321 "," -80.5188,40.6223 "," -98.0818,34.0060 "," -122.9398,46.0980 "," -75.1904,40.6806 "," -71.8520,41.3315 "," -82.0280,33.4830 "," -96.5561,43.2262 "," -82.6076,35.9702 "," -104.2067,29.4719 ",," -81.9681,37.5380 "," -71.5677,44.6481 "," -116.9254,46.1722 "," -87.6462,45.3367 "," -77.8271,39.1279 ",
" -164.6082,67.2933 "," -88.4743,31.8939 "," -90.9586,34.1345 "," -114.4803,32.9741 "," -114.4597,34.6581 ",," -71.8938,41.3309 "," -75.6477,39.8296 "," -82.1544,30.3598 "," -82.2217,33.6695 "," -158.1784,21.1037 "," -90.2788,41.7457 "," -114.3430,46.5135 "," -88.0321,37.7881 "," -85.9200,38.0232 "," -102.0506,40.0024 "," -82.5952,38.3761 "," -91.0464,32.0593 "," -71.0266,41.3149 "," -76.0584,37.9529 "," -70.2040,46.3270 "," -84.1113,46.5041 "," -92.2934,46.0789 "," -90.1154,38.8269 "," -91.5601,31.0341 "," -113.4970,44.9386 "," -84.1113,35.2310 "," -97.0999,48.6765 "," -96.0686,41.7703 "," -70.9840,43.7364 "," -74.0410,39.6131 ",," -114.5654,36.1556 "," -76.4978,43.9987 "," -80.5229,42.3210 "," -97.9843,33.8966 "," -122.8848,46.0551 "," -75.2124,40.5639 "," -71.9041,41.3057 "," -82.1475,33.5860 "," -96.5259,43.3841 "," -82.6378,36.0602 "," -104.1559,29.3834 ",," -81.9259,37.5139 "," -71.5388,44.5817 "," -116.9357,46.1432 "," -87.6956,45.3869 "," -78.3421,39.4563 ",
" -164.0149,66.7789 "," -88.1021,34.8938 "," -90.9132,34.1675 "," -114.5256,33.0317 "," -114.4322,34.5869 ",," -71.9302,41.3103 "," -75.7906,39.7199 "," -82.0638,30.3598 "," -82.1558,33.5963 "," -157.4629,20.8152 "," -90.2074,41.8164 "," -114.3896,46.4530 "," -88.1529,37.6349 "," -86.0477,37.9594 ",," -82.7477,38.5030 "," -91.1014,31.9918 "," -70.8316,41.1590 "," -76.2396,37.8889 "," -70.0571,46.4151 "," -84.1457,46.4189 "," -92.2879,46.5957 "," -90.1978,38.7155 "," -91.6273,31.1106 "," -113.4229,45.0269 "," -84.0454,35.2815 "," -97.1356,48.7326 "," -96.1084,41.8368 "," -70.9731,43.5704 "," -74.2209,39.4744 ",," -114.6204,36.1334 "," -76.4388,44.0965 "," -81.2521,42.2153 "," -97.8662,33.8487 "," -122.8189,45.9588 "," -75.1025,40.5743 "," -71.7915,41.1849 "," -82.2437,33.6878 "," -96.6138,43.4848 "," -82.7751,35.9925 "," -103.9774,29.2948 ",," -81.9707,37.4889 "," -71.6006,44.5533 "," -116.9584,46.1009 "," -87.8549,45.3425 "," -78.3408,39.3407 ",
" -165.7507,66.5810 "," -88.1721,34.9479 "," -90.8501,34.1380 "," -114.6094,33.0259 "," -114.3787,34.5235 ",," -72.0195,41.2907 ",," -82.0226,30.4877 "," -82.0432,33.5036 "," -157.2171,20.6803 "," -90.1538,41.9023 "," -114.4144,46.3488 "," -88.0609,37.5097 "," -86.0944,38.0102 ",," -82.8369,38.5825 "," -91.1865,31.9498 "," -69.9225,41.1662 "," -76.3454,37.9474 "," -69.9994,46.6956 "," -84.1395,46.3720 "," -90.6564,47.3072 "," -90.3186,38.4149 "," -91.5916,31.1658 "," -113.7085,45.2749 "," -84.0248,35.4058 "," -97.1727,48.7951 "," -96.1372,41.9677 "," -70.9813,43.3621 "," -74.6713,38.9882 ",," -114.6863,36.1157 "," -76.3536,44.1349 "," -81.6806,41.9962 "," -97.6932,33.9798 "," -122.8162,45.9053 "," -75.0600,40.5013 "," -71.4084,41.2665 "," -82.2437,33.7609 "," -96.4558,43.4998 "," -82.8177,35.9169 "," -103.9128,29.2804 ",," -81.9800,37.4563 "," -71.5746,44.5308 "," -116.9762,46.0785 "," -87.7945,45.4813 "," -78.4341,39.1918 ",
" -167.5745,66.2867 "," -88.1461,34.9107 "," -90.9325,34.2311 "," -114.6588,33.0317 "," -114.3869,34.4601 ",," -72.0827,41.2618 ",," -82.0473,30.6308 "," -81.9484,33.3707 "," -156.8285,20.3408 "," -90.1744,42.0962 "," -114.4611,46.2682 "," -88.4152,37.4149 "," -86.2729,38.0578 ",," -82.9015,38.7316 "," -91.3101,31.8262 "," -69.7948,41.3201 "," -76.4154,37.9669 "," -69.2303,47.4550 "," -84.1058,46.3218 "," -89.9615,47.2885 "," -90.3790,38.2597 "," -91.6589,31.2304 "," -113.7964,45.4447 "," -83.9424,35.4719 "," -97.2290,48.9081 "," -96.2402,42.0330 "," -70.9030,43.2942 "," -74.8553,38.8664 ",," -114.7742,36.0979 "," -76.3124,44.1989 "," -81.7094,41.9962 "," -97.4529,33.8841 "," -122.7887,45.8824 "," -75.0655,40.4208 ",," -82.3576,33.8305 "," -96.4545,45.2981 "," -82.9042,35.8623 "," -103.8208,29.2481 ",," -81.9374,37.4389 "," -71.5883,44.4955 "," -116.9433,46.0537 "," -87.7945,45.5679 "," -78.4053,39.1652 ",
" -168.9862,66.0269 ",," -90.6935,34.3446 "," -114.7096,33.0904 "," -114.3361,34.4500 ",," -72.4322,41.1962 ",," -82.0514,30.6757 "," -81.8303,33.2077 "," -156.5456,20.2931 "," -90.2692,42.1441 "," -114.5105,46.1227 "," -88.5086,37.2828 "," -86.2811,38.0935 ",," -83.0196,38.7027 "," -91.3527,31.7947 "," -69.7398,41.8133 "," -76.4703,38.0146 "," -69.0381,47.4132 "," -84.1203,46.3147 "," -89.4919,48.0120 "," -89.9341,37.9572 "," -91.6452,31.2656 "," -113.8403,45.6140 "," -83.8559,35.5166 "," -97.2331,48.9982 "," -96.2746,42.1155 "," -70.8083,43.2272 "," -75.0476,38.8472 ",," -114.7357,36.0580 "," -76.2437,44.2049 "," -82.3961,41.6770 "," -97.4611,33.8282 "," -122.7969,45.8173 "," -74.9776,40.4072 ",," -82.5018,33.9308 "," -96.7429,45.4601 "," -83.0017,35.7755 "," -103.5640,29.1378 ",," -81.9319,37.3592 "," -71.6556,44.4504 "," -116.9165,45.9960 "," -87.7876,45.6764 "," -78.5715,39.0299 ",
