AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
" -131.5887,56.6086 ",,," -114.4872,36.1301 "," -114.5311,32.7850 ",,,," -86.1946,30.1594 ",,,," -117.0895,44.2585 ",," -87.5322,38.8247 ",," -89.1032,36.9488 "," -93.7463,30.5433 ",," -78.1924,39.6945 ",," -87.1477,43.3771 "," -97.1397,48.1578 ",," -90.6509,34.3774 ",,,,," -72.0703,44.1999 ",,,," -73.3049,43.6271 ",,," -116.5402,45.6889 ",,,,,," -96.6096,28.0599 ",," -78.7830,38.8857 "," -73.3976,43.5675 "," -122.7962,45.8106 ",," -81.7671,38.9370 ",
" -132.8755,57.8404 ",,," -114.3690,36.1445 "," -114.5284,32.7573 ",,,," -86.8510,30.2175 ",,,," -117.1122,44.2806 ",," -87.5171,38.9039 ",," -89.1733,36.8214 "," -93.7106,30.5954 ",," -78.2062,39.6839 ",," -87.1216,43.7056 "," -97.0587,47.9633 ",," -90.6152,34.3978 ",,,,," -72.0525,44.2511 ",,,," -73.3063,43.5764 ",,," -116.4606,45.6121 ",,,,,," -95.9285,28.4228 ",," -78.7198,38.9327 "," -73.4326,43.5883 "," -122.7839,45.8642 ",," -81.7657,39.0117 ",
" -133.8423,58.7276 ",,," -114.3038,36.0746 "," -114.5641,32.7503 ",,,," -87.5171,30.1499 ",,,," -117.1541,44.2590 ",," -87.5253,38.9413 ",," -89.1925,36.7411 "," -93.6914,30.5906 ",," -78.2419,39.6839 ",," -87.0474,43.9958 "," -96.9434,47.7098 ",," -90.5589,34.4432 ",,,,," -72.0607,44.2796 ",,,," -73.2582,43.5675 ",,," -116.5567,45.5006 ",,,,,," -95.3036,28.7568 ",," -78.7129,38.9071 "," -73.4285,43.6351 "," -122.8114,45.9120 ",," -81.7520,39.0800 ",
" -134.9121,59.3108 ",,," -114.3172,36.0602 "," -114.6162,32.7353 ",,,," -87.4429,30.3006 ",,,," -117.2255,44.2973 ",," -87.5281,38.9712 ",," -89.2007,36.6265 "," -93.6859,30.6545 ",," -78.2281,39.6586 ",," -86.9939,44.1674 "," -96.8582,47.5821 ",," -90.5740,34.5179 ",,,,," -72.0291,44.3199 ",,,," -73.2445,43.5227 ",,," -116.5567,45.4640 ",,,,,," -94.7296,29.0742 ",," -78.6291,38.9850 "," -73.4079,43.6684 "," -122.8148,45.9612 ",," -81.7465,39.1790 ",
" -135.4724,59.8020 ",,," -114.2451,36.0163 "," -114.6986,32.7480 ",,,," -87.3750,30.4256 ",,,," -117.1994,44.3445 ",," -87.5761,38.9872 ",," -89.2529,36.5449 "," -93.6365,30.6781 ",," -78.2776,39.6226 ",," -86.8662,44.4720 "," -96.8335,47.2345 ",," -90.5823,34.5880 ",,,,," -71.9783,44.3376 ",,,," -73.2582,43.2582 ",,," -116.5869,45.4447 ",,,,,," -94.3355,29.3810 ",," -78.6044,38.9658 "," -73.3907,43.7031 "," -122.8587,46.0160 ",," -81.5872,39.2642 ",
" -136.3445,59.6039 ",,," -114.1438,36.0402 "," -114.7220,32.7191 ",,,," -87.3743,30.4830 ",,,," -117.2372,44.3813 ",," -87.6228,39.0906 ",," -89.3518,36.6232 "," -93.6200,30.7513 ",," -78.3517,39.6438 ",," -86.6849,44.8841 "," -96.8005,46.6702 ",," -90.5356,34.7506 ",,,,," -71.9289,44.3592 ",,,," -73.2733,42.9715 ",,," -116.6721,45.3213 ",,,,,," -93.8205,29.6021 ",," -78.5522,39.0170 "," -73.3516,43.7701 "," -122.8848,46.0604 ",," -81.4499,39.3969 ",
" -136.8251,59.1619 ",,," -114.1150,36.0979 "," -115.1944,32.6868 ",,,," -87.3907,30.5658 ",,,," -117.2269,44.4769 ",," -87.6517,39.1066 ",," -89.5345,36.4986 "," -93.5925,30.7890 ",," -78.3765,39.6120 ",," -86.5009,45.0813 "," -96.7126,46.5135 ",," -90.5136,34.7913 ",,,,," -71.8712,44.3366 ",,,," -73.2898,42.8004 ",,," -116.6940,45.2633 ",,,,,," -93.9317,29.8013 ",," -78.5770,39.0384 "," -73.3928,43.8207 "," -122.9034,46.0832 ",," -81.3675,39.3481 ",
" -137.6079,59.2441 ",,," -114.1274,36.1101 "," -117.3395,32.5121 ",,,," -87.4004,30.6344 ",,,," -117.1836,44.5234 ",," -87.6599,39.1365 ",,," -93.5513,30.8150 ",," -78.4067,39.6036 ",," -86.2495,45.2353 "," -96.6028,46.2786 ",," -90.4532,34.8780 ",,,,," -71.8135,44.3572 ",,,," -73.2664,42.7460 ",,," -116.7325,45.1414 ",,,,,," -93.8136,29.9157 ",," -78.5083,39.0938 "," -73.3832,43.8533 "," -122.9597,46.1028 ",," -81.2370,39.4012 ",
" -139.2119,60.0902 ",,," -114.1054,36.1190 "," -117.4823,32.7838 ",,,," -87.4141,30.6763 ",,,," -117.1458,44.5376 ",," -87.6366,39.1695 ",,," -93.5623,30.8645 ",," -78.4177,39.5824 ",," -86.7563,45.4438 "," -96.5767,46.0189 ",," -90.3543,34.8476 ",,,,," -71.8108,44.3877 ",,,," -73.3708,42.4630 ",,," -116.7764,45.1065 ",,,,,," -93.7230,30.0489 ",," -78.4314,39.1492 "," -73.3969,43.9033 "," -123.0579,46.1556 ",," -81.1093,39.4691 ",
" -139.0938,60.3575 ",,," -114.0463,36.1989 "," -117.5977,33.0501 ",,,," -87.5253,30.7702 ",,,," -117.0442,44.7423 ",," -87.5899,39.2493 ",,," -93.5788,30.8881 ",," -78.4245,39.5750 ",," -87.0996,45.4438 "," -96.5891,45.8173 ",," -90.2911,34.8702 ",,,,," -71.7778,44.4014 ",,,," -73.5095,42.0840 ",,," -116.7847,45.0696 ",,,,,," -93.6996,30.1214 ",," -78.4039,39.1684 "," -73.4086,43.9365 "," -123.1210,46.1865 ",," -81.0104,39.5644 ",
" -140.0056,60.1866 ",,," -114.0450,36.3638 "," -117.6814,33.2341 ",,,," -87.6256,30.8527 ",,,," -116.9316,44.7921 ",," -87.5336,39.3492 ",,," -93.5541,30.9187 ",," -78.4232,39.5464 ",," -87.1518,45.3772 "," -96.8486,45.6169 ",," -90.3062,35.0041 ",,,,," -71.7380,44.4122 ",,,," -73.4903,42.0218 ",,," -116.8451,45.0231 ",,,,,," -93.7216,30.2021 ",," -78.4314,39.1939 "," -73.4134,43.9795 "," -123.1664,46.1893 ",," -80.9198,39.6120 ",
" -140.9999,60.3059 ",,," -114.0508,37.0001 "," -118.0591,33.4578 ",,,," -87.5912,30.9470 ",,,," -116.8980,44.8568 ",," -87.5253,41.7600 ",,," -93.5294,30.9423 ",," -78.4698,39.5146 ",," -87.1710,45.3502 "," -96.7456,45.4601 ",,,,,,," -71.6597,44.4416 ",,,," -73.4999,41.8808 ",,," -116.8616,44.9765 ",,,,,," -93.7038,30.2792 ",," -78.3380,39.3470 "," -73.4381,44.0427 "," -123.2810,46.1446 ",," -80.8319,39.6522 ",
" -141.0205,70.0187 ",,,," -118.6290,33.5403 ",,,," -87.5912,30.9682 ",,,," -116.8327,44.9356 ",,,,," -93.5760,31.0082 ",," -78.5687,39.5189 ",," -87.3166,45.2401 "," -96.5918,45.3676 ",,,,,,," -71.6542,44.4642 ",,,," -73.5535,41.2953 ",,," -116.8286,44.9298 ",,,,,," -93.7628,30.3278 ",," -78.3380,39.3853 "," -73.4141,44.1058 "," -123.3703,46.1470 ",," -80.8072,39.8054 ",
